STRUCTURE_NUMBER_008,COUNTY_CODE_003,FACILITY_CARRIED_007,FEATURES_DESC_006A,LOCATION_009,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,YEAR_BUILT_027,ADT_029,MODEL_DETERIORATION_RISK_SCORE,RISK_RANK,RISK_PERCENTILE,RISK_GROUP
000000000011278,33,SR 80-I 80,T-339 AND ANDERSON CREEK,5 MILES EAST OF EXIT 101,6.0,6.0,6.0,1970.0,10674.0,0.373168,13565,35.4,Low
000000000011277,33,SR 80-I 80,T-339 AND ANDERSON CREEK,5 MILES EAST OF EXIT 101,6.0,6.0,6.0,1970.0,10775.0,0.373168,13566,35.4,Low
000000000007611,17,HILLCREST ROAD,PLEASANT SPRING CREEK,1500' NW Orch Rd  2920-D4,7.0,5.0,5.0,1968.0,500.0,0.373157,13567,35.3,Low
000000000003838,7,GEORGETOWN LN,TWO MILE RUN,300' W of TUSCARAWAS RD,5.0,5.0,5.0,1941.0,2831.0,0.373139,13568,35.3,Low
000000000042645,129,KENNEDY AVE,TURTLE CREEK,20' E OF LINCOLN AVE INT,6.0,7.0,7.0,2002.0,5512.0,0.373129,13569,35.3,Low
000000000030722,107,PA 895 (LR 53022),BRANCH OF LIZARD CREEK,2.6 MI. E. OF SNYDERS,6.0,6.0,7.0,1966.0,2244.0,0.373119,13570,35.3,Low
000000000008730,21,"T509, Amadei Road",N.BR.BLACKLICK CREEK,2.7 MI.SW.OF NICKTOWN,3.0,3.0,3.0,1915.0,109.0,0.373089,13571,35.3,Low
000000000041352,95,PA 329-LR175,QUARRY,NOR-BATH BOULEVARD,7.0,8.0,7.0,2001.0,13770.0,0.373086,13572,35.3,Low
000000000016802,51,SR 1051,OPOSSUM RUN,DUNBAR TOWNSHIP,7.0,8.0,7.0,1997.0,3637.0,0.373052,13573,35.3,Low
000000000045460,43,T-526 Walnut Run C,Walnut Run,West Hanover Twp. Dauphin,7.0,7.0,7.0,2004.0,50.0,0.373043,13574,35.3,Low
000000000045782,59,SR 0188,South Fork Tenmile Creek,E of Waynesburg,7.0,8.0,8.0,2009.0,4463.0,0.373043,13575,35.3,Low
000000000030695,107,PA 443 (53012),LITTLE SCHUYLKILL RIVER,NEW RINGGOLD,6.0,6.0,6.0,1989.0,7400.0,0.373028,13576,35.3,Low
000000000038517,101,INTERSTATE 95 S.B.,PENROSE AVE/TRIB MINGO C,N.PLATT BRIDGE  3699E08,6.0,6.0,6.0,1984.0,93304.0,0.373025,13577,35.3,Low
000000000053427,117,SR 0049 SH,California Brook,0.5 MI E OF WESTFIELD,8.0,8.0,9.0,2016.0,3062.0,0.373022,13578,35.3,Low
000000000036534,129,SR 3007,SR 0070,NORTH BELLE VERNON BORO.,5.0,4.0,4.0,1958.0,6547.0,0.373021,13579,35.3,Low
000000000041990,43,BOW CREEK RD;T-612,BOW CREEK,BOW CREEK ROAD,6.0,6.0,5.0,1968.0,1000.0,0.372996,13580,35.3,Low
000000000010514,29,BRANDYWINE CK. RD.,BUCK RUN & DOE RUN,NEAR KINGS RANCH     38F1,,5.0,6.0,1915.0,307.0,0.372981,13581,35.3,Low
000000000012075,35,SR 120-PA 120,KETTLE CREEK,WESTPORT,7.0,7.0,7.0,1982.0,581.0,0.372962,13582,35.3,Low
